graph_ordinal	t_begin_ns	key	key_ordinal	topology_digest	pointer_digest	n_nodes	n_tokens	n_outputs	n_kv	n_rs	enabled	compatible	properties_changed	change_reason	change_node	change_op	change_name	change_categories	warmup_before	warmup_after	action	executable	host_us	device_ms
566	1788563405191033465	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	4.0395
567	1788563405196102159	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	4.0155
568	1788563405201158771	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	4.0238
569	1788563405206225081	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	473	4.0356
570	1788563405211289307	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	472	4.0108
571	1788563405216343534	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	4.0124
572	1788563405221496237	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	4.0391
573	1788563405226567376	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	4.0244
574	1788563405231619719	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	469	4.0380
575	1788563405236687603	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	4.0097
576	1788563405241715230	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	468	4.0142
577	1788563405246754920	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	470	4.0441
578	1788563405251830557	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	4.0170
579	1788563405256882591	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	4.0378
580	1788563405262002732	0x7f4033e2f3b0	1	d702fd6fe588b6cb	20f1f5a0effcc87d	1459	2	2	512	-1	1	1	0	none	-1	-	-	-	1	1	replay	none	471	4.0300
