phase	closure	length	base	width	repeat	prompt_n	prompt_ms	predicted_n	predicted_ms	tokens_sha256
subject	build-qwen-cuda-8680bc95e989	529	512	17	2	529	29.263	32	127.254	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	530	512	18	2	530	31.785	32	122.452	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	531	512	19	2	531	31.842	32	126.054	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	532	512	20	2	532	30.539	32	122.225	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1041	1024	17	2	1041	51.033	32	126.367	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1042	1024	18	2	1042	55.118	32	119.674	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1043	1024	19	2	1043	53.305	32	123.037	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	1044	1024	20	2	1044	53.062	32	129.992	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2065	2048	17	2	2065	96.267	32	124.872	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2066	2048	18	2	2066	93.704	32	120.493	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2067	2048	19	2	2067	91.161	32	124.21	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	2068	2048	20	2	2068	97.43	32	131.348	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	17	0	17	3	17	12.569	32	136.307	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	18	0	18	3	18	8.431	32	134.503	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
subject	build-qwen-cuda-8680bc95e989	19	0	19	3	19	18.465	32	159.281	4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
