request	task	batch_serial	mode	entry	image	image_ordinal	chunk_ordinal	slice	tensor	chunk_row_first	n_tokens	chunk_n_tokens	tensor_row_first	byte_first	byte_last_p1	source	buffer	graph_offset	digest	rowchain	expected_rowchain	rowchain_holds	contiguous
5	172	14	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	2	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	ae61c9b5c1b46b70	8ccf8891438bd1cb	8ccf8891438bd1cb	yes	yes
5	172	15	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	fcdea229616162ff	8e4f85d9c4e73459	8e4f85d9c4e73459	yes	yes
5	172	15	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	ff0d761d3e486875	db95fac0fa14db6d	db95fac0fa14db6d	yes	yes
5	172	15	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	bd3995f2933a263a	1509cb1960750bd9	1509cb1960750bd9	yes	yes
5	172	15	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	71c64c6315bc5195	c6efb67ac2ea88a0	c6efb67ac2ea88a0	yes	yes
5	172	15	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	ee90bd96a7183205	ffb3ed18445b8ac6	ffb3ed18445b8ac6	yes	yes
5	172	15	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	6	mtmd_embd_dev	160	32	256	160	655360	786432	device	CUDA0	160	40a4c6aab24e6401	ba25108082b4f00c	ba25108082b4f00c	yes	yes
5	172	15	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	7	mtmd_embd_dev	192	32	256	192	786432	917504	device	CUDA0	192	4283fcea43a2e50d	d6c2d60e7dbe66e0	d6c2d60e7dbe66e0	yes	yes
5	172	15	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	3	8	mtmd_embd_dev	224	32	256	224	917504	1048576	device	CUDA0	224	7524d0c3f78c7656	803700336964bad1	803700336964bad1	yes	yes
5	172	16	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	1	mtmd_embd_dev	0	32	256	0	0	131072	device	CUDA0	0	59a01db08c673a05	7d7b1cbbd2f5acd9	7d7b1cbbd2f5acd9	yes	yes
5	172	16	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	2	mtmd_embd_dev	32	32	256	32	131072	262144	device	CUDA0	32	43a997af5f812639	9ae5cc1c5d736bd4	9ae5cc1c5d736bd4	yes	yes
5	172	16	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	3	mtmd_embd_dev	64	32	256	64	262144	393216	device	CUDA0	64	c126d227172dc410	78e8b72482876bfe	78e8b72482876bfe	yes	yes
5	172	16	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	4	mtmd_embd_dev	96	32	256	96	393216	524288	device	CUDA0	96	b43bd2f5fc90cf22	e71a601881707111	e71a601881707111	yes	yes
5	172	16	device	0	696ca854676176c3221ff8a408b7405d9b3b19eb25dced94a65ec9639e7508bb	1	4	5	mtmd_embd_dev	128	32	256	128	524288	655360	device	CUDA0	128	f28230533ed07a8b	eecce8e46d7c0d07	eecce8e46d7c0d07	yes	yes
